Start,Finish,Steps (count)
04-Jul-2018 01:00,04-Jul-2018 02:00,0.0
04-Jul-2018 02:00,04-Jul-2018 03:00,0.0
04-Jul-2018 03:00,04-Jul-2018 04:00,0.0
04-Jul-2018 04:00,04-Jul-2018 05:00,0.0
04-Jul-2018 05:00,04-Jul-2018 06:00,0.0
04-Jul-2018 06:00,04-Jul-2018 07:00,271.420733379071
04-Jul-2018 07:00,04-Jul-2018 08:00,874.579266620929
04-Jul-2018 08:00,04-Jul-2018 09:00,514.774691704887
04-Jul-2018 09:00,04-Jul-2018 10:00,267.225308295113
04-Jul-2018 10:00,04-Jul-2018 11:00,887.0
04-Jul-2018 11:00,04-Jul-2018 12:00,90.661710301274
04-Jul-2018 12:00,04-Jul-2018 13:00,2932.33828969873
04-Jul-2018 13:00,04-Jul-2018 14:00,919.0
04-Jul-2018 14:00,04-Jul-2018 15:00,0.0
04-Jul-2018 15:00,04-Jul-2018 16:00,995.0
04-Jul-2018 16:00,04-Jul-2018 17:00,0.0
04-Jul-2018 17:00,04-Jul-2018 18:00,9.0
04-Jul-2018 18:00,04-Jul-2018 19:00,1027.0
04-Jul-2018 19:00,04-Jul-2018 20:00,175.0
04-Jul-2018 20:00,04-Jul-2018 21:00,0.0
04-Jul-2018 21:00,04-Jul-2018 22:00,0.929284733549077
04-Jul-2018 22:00,04-Jul-2018 23:00,86.0707152664509
04-Jul-2018 23:00,05-Jul-2018 00:00,0.0
05-Jul-2018 00:00,05-Jul-2018 01:00,0.0
05-Jul-2018 01:00,05-Jul-2018 02:00,0.0
05-Jul-2018 02:00,05-Jul-2018 03:00,0.0
05-Jul-2018 03:00,05-Jul-2018 04:00,0.0
05-Jul-2018 04:00,05-Jul-2018 05:00,0.0
05-Jul-2018 05:00,05-Jul-2018 06:00,0.0
05-Jul-2018 06:00,05-Jul-2018 07:00,0.0
05-Jul-2018 07:00,05-Jul-2018 08:00,0.0
05-Jul-2018 08:00,05-Jul-2018 09:00,0.0
05-Jul-2018 09:00,05-Jul-2018 10:00,133.0
05-Jul-2018 10:00,05-Jul-2018 11:00,963.0
05-Jul-2018 11:00,05-Jul-2018 12:00,790.226144682645
05-Jul-2018 12:00,05-Jul-2018 13:00,1429.35882768213
05-Jul-2018 13:00,05-Jul-2018 14:00,865.510021811874
05-Jul-2018 14:00,05-Jul-2018 15:00,3164.90500582335
05-Jul-2018 15:00,05-Jul-2018 16:00,0.0
05-Jul-2018 16:00,05-Jul-2018 17:00,1111.0
05-Jul-2018 17:00,05-Jul-2018 18:00,0.0
05-Jul-2018 18:00,05-Jul-2018 19:00,1492.88438194228
05-Jul-2018 19:00,05-Jul-2018 20:00,354.541184780086
05-Jul-2018 20:00,05-Jul-2018 21:00,1189.57443327763
05-Jul-2018 21:00,05-Jul-2018 22:00,179.0
05-Jul-2018 22:00,05-Jul-2018 23:00,0.0
05-Jul-2018 23:00,06-Jul-2018 00:00,0.0
06-Jul-2018 00:00,06-Jul-2018 01:00,0.0
06-Jul-2018 01:00,06-Jul-2018 02:00,0.0
06-Jul-2018 02:00,06-Jul-2018 03:00,0.0
06-Jul-2018 03:00,06-Jul-2018 04:00,0.0
06-Jul-2018 04:00,06-Jul-2018 05:00,0.0
06-Jul-2018 05:00,06-Jul-2018 06:00,0.0
06-Jul-2018 06:00,06-Jul-2018 07:00,0.0
06-Jul-2018 07:00,06-Jul-2018 08:00,0.0
06-Jul-2018 08:00,06-Jul-2018 09:00,0.0
06-Jul-2018 09:00,06-Jul-2018 10:00,125.0
06-Jul-2018 10:00,06-Jul-2018 11:00,1039.0
